node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startClade,endClade
30,17,722.851899252875,118.219301312578,28.6148145106156,119.297511518345,28.1246356611279,722.851899252875,0,1289.18645691151,2012.03835616438,SC2_KF294457.1,main,main
30,31,262.490223768258,118.219301312578,28.6148145106156,115.719821703474,27.4955263939505,262.490223768258,0,1289.18645691151,1551.67668067977,NA,main,main
31,32,113.163751639478,115.719821703474,27.4955263939505,104.629002396692,27.235654114942,375.653975407736,262.490223768258,1551.67668067977,1664.84043231924,NA,main,main
32,33,223.06103460652,104.629002396692,27.235654114942,105.90222404435,27.7522508527436,598.715010014255,375.653975407736,1664.84043231924,1887.90146692576,NA,main,main
33,34,4.58856100808319,105.90222404435,27.7522508527436,105.426288167287,27.5857002692775,603.303571022338,598.715010014255,1887.90146692576,1892.49002793385,NA,main,main
34,35,52.7073092273983,105.426288167287,27.5857002692775,105.325490335669,25.8192566691869,656.010880249737,603.303571022338,1892.49002793385,1945.19733716125,NA,main,main
35,36,9.99883461384491,105.325490335669,25.8192566691869,101.018828449337,20.9951679176235,666.009714863582,656.010880249737,1945.19733716125,1955.19617177509,NA,main,main
35,49,17.3192869350601,105.325490335669,25.8192566691869,105.209898902425,25.1799651844776,673.330167184797,656.010880249737,1945.19733716125,1962.51662409631,NA,main,main
34,50,73.3940007530842,105.426288167287,27.5857002692775,109.578055087042,28.0778435486494,676.697571775423,603.303571022338,1892.49002793385,1965.88402868693,NA,main,main
50,51,8.26032118061082,109.578055087042,28.0778435486494,109.984651686283,28.5264733563454,684.957892956033,676.697571775423,1965.88402868693,1974.14434986754,NA,main,main
36,37,21.0899632804891,101.018828449337,20.9951679176235,102.371701661654,22.2390114531476,687.099678144071,666.009714863582,1955.19617177509,1976.28613505558,NA,main,main
37,41,7.65953852675694,102.371701661654,22.2390114531476,102.646589741261,22.4521642185601,694.759216670828,687.099678144071,1976.28613505558,1983.94567358234,NA,main,main
41,42,4.57089405613294,102.646589741261,22.4521642185601,102.590150699743,22.2221340302598,699.330110726961,694.759216670828,1983.94567358234,1988.51656763847,NA,main,main
41,44,6.10337435002803,102.646589741261,22.4521642185601,102.686964681412,22.5564707696542,700.862591020856,694.759216670828,1983.94567358234,1990.04904793236,NA,main,main
37,38,20.4191910608301,102.371701661654,22.2390114531476,101.830715120652,21.6735949906072,707.518869204901,687.099678144071,1976.28613505558,1996.70532611641,NA,main,main
44,45,14.7347420134698,102.686964681412,22.5564707696542,102.518524672875,18.8470751484633,715.597333034326,700.862591020856,1990.04904793236,2004.78378994583,NA,main,main
42,43,22.3977727844829,102.590150699743,22.2221340302598,106.056192384016,13.8500761401797,721.727883511443,699.330110726961,1988.51656763847,2010.91434042295,NA,main,main
43,29,0.0527828647188411,106.056192384016,13.8500761401797,106.151011099565,13.9512586358559,721.780666376162,721.727883511443,2010.91434042295,2010.96712328767,SC2_EPI_ISL_852604,main,main
43,7,0.0527828647188411,106.056192384016,13.8500761401797,106.029280383995,13.5977060022717,721.780666376162,721.727883511443,2010.91434042295,2010.96712328767,SC2_EPI_ISL_852605,main,main
51,52,37.9063751566943,109.984651686283,28.5264733563454,121.96189489089,29.753529924271,722.864268112728,684.957892956033,1974.14434986754,2012.05072502424,NA,main,main
31,25,461.361675484617,115.719821703474,27.4955263939505,141.443990666087,39.4547852181484,723.851899252875,262.490223768258,1551.67668067977,2013.03835616438,SC2_LC556375.1,main,main
